id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_reire
1,17,6,,4,,,
2,19,1,8,,,,
3,16,5,,11,,,
4,9,,12,,,,
5,12,4,,12,,,
6,15,8,13,,,,
7,3,18,,13,,,
8,,11,,14,,,
9,14,2,14,,,,
10,13,7,,15,,,
11,10,,15,,,,
12,,,16,,,,
13,,,,16,,,
14,,,,17,,,
15,,,17,,,,
16,,,19,,,,
17,,,,19,,,
18,,,,,,,
19,,,,,,,
