id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_reire
1,24,22,,9,,,
2,16,10,10,,,,
3,7,19,,11,,,
4,1,17,12,,,,
5,11,18,13,,,,
6,5,15,,14,,,
7,20,6,15,,,,
8,23,4,,16,,,
9,2,,17,,,,
10,,3,,17,,,
11,21,,18,,,,
12,,14,,18,,,
13,,8,,19,,,
14,13,,19,,,,
15,,9,,20,,,
16,12,,20,,,,
17,,,21,,,,
18,,,,21,,,
19,,,,22,,,
20,,,22,,,,
21,,,24,,,,
22,,,,24,,,
23,,,,,,,
24,,,,,,,
